topo,A,B,maxbond,value
QTT_Seq,30.0,5.0,15,0.011351810638126132
QTT_Seq,30.0,5.0,18,0.014304457646279377
QTT_Seq,30.0,5.0,21,0.012403430532451005
QTT_Seq,30.0,5.0,24,0.013319809024740455
QTT_Seq,30.0,5.0,27,0.011228206879410608
QTT_Seq,30.0,5.0,30,0.012834675481977916
QTT_Seq,30.0,10.0,3,0.004721884160997528
QTT_Seq,30.0,10.0,6,0.008375196971065238
QTT_Seq,30.0,10.0,9,0.005800709678087888
QTT_Seq,30.0,10.0,12,0.003835566050032512
QTT_Seq,30.0,10.0,15,0.005706323703672739
QTT_Seq,30.0,10.0,18,0.003722047748010404
QTT_Seq,30.0,10.0,21,0.0064476007183869866
QTT_Seq,30.0,10.0,24,0.010819267160703104
QTT_Seq,30.0,10.0,27,0.005803035253176696
QTT_Seq,30.0,10.0,30,0.0051936071745940695
BTTN,1.0,0.5,3,0.02077250208130563
BTTN,1.0,0.5,6,0.0038838109483289953
BTTN,1.0,0.5,9,0.0012755740267502175
BTTN,1.0,0.5,12,0.0010905597591930728
BTTN,1.0,0.5,15,0.0005442038047597439
BTTN,1.0,0.5,18,0.0003685942096531337
BTTN,1.0,0.5,21,0.00021787082818865071
BTTN,1.0,0.5,24,0.000208057107272766
BTTN,1.0,0.5,27,0.0001664153999391761
BTTN,1.0,0.5,30,7.922271979117604e-5
BTTN,1.0,2.0,3,0.07923022984876578
BTTN,1.0,2.0,6,0.014800394268918294
BTTN,1.0,2.0,9,0.005941184111479996
BTTN,1.0,2.0,12,0.0023420115133318373
BTTN,1.0,2.0,15,0.003051478994889446
BTTN,1.0,2.0,18,0.0014791981940269008
BTTN,1.0,2.0,21,0.0008031882796501737
BTTN,1.0,2.0,24,0.0007531044017766371
BTTN,1.0,2.0,27,0.0007807040958455019
BTTN,1.0,2.0,30,0.00032423305324713456
BTTN,1.0,5.0,3,0.13480253135729853
BTTN,1.0,5.0,6,0.03691892802083753
BTTN,1.0,5.0,9,0.01283476855964223
BTTN,1.0,5.0,12,0.008208773067372197
BTTN,1.0,5.0,15,0.005785309166663016
BTTN,1.0,5.0,18,0.0022550911639261004
BTTN,1.0,5.0,21,0.0023525871620054067
BTTN,1.0,5.0,24,0.002386865524807571
BTTN,1.0,5.0,27,0.0014003430038630775
BTTN,1.0,5.0,30,0.0008185888229127722
BTTN,1.0,10.0,3,0.11857971509865224
BTTN,1.0,10.0,6,0.04727655041982762
BTTN,1.0,10.0,9,0.019487743540033114
BTTN,1.0,10.0,12,0.020913314355113097
BTTN,1.0,10.0,15,0.01134704421246243
BTTN,1.0,10.0,18,0.005853094276175933
BTTN,1.0,10.0,21,0.00644650015306243
BTTN,1.0,10.0,24,0.003237064899073563
BTTN,1.0,10.0,27,0.0033450959796703693
BTTN,1.0,10.0,30,0.0027118673560773193
BTTN,5.0,0.5,3,0.08993134386341574
BTTN,5.0,0.5,6,0.018611112507435957
BTTN,5.0,0.5,9,0.005871699707447011
BTTN,5.0,0.5,12,0.004119036470023757
BTTN,5.0,0.5,15,0.002932938790862203
BTTN,5.0,0.5,18,0.0017906323948116436
BTTN,5.0,0.5,21,0.0009919694867844765
BTTN,5.0,0.5,24,0.0011346498544841817
BTTN,5.0,0.5,27,0.0011144360830353608
BTTN,5.0,0.5,30,0.0006385626638113212
BTTN,5.0,2.0,3,0.1258887787143283
BTTN,5.0,2.0,6,0.05980133946520239
BTTN,5.0,2.0,9,0.01879519049387838
BTTN,5.0,2.0,12,0.015725454119084773
BTTN,5.0,2.0,15,0.011463715911521736
BTTN,5.0,2.0,18,0.005843567121582013
BTTN,5.0,2.0,21,0.0049753067845502985
BTTN,5.0,2.0,24,0.004302461391918175
BTTN,5.0,2.0,27,0.004833945191183651
BTTN,5.0,2.0,30,0.0035174415890821932
BTTN,5.0,5.0,3,0.07400999136488753
BTTN,5.0,5.0,6,0.05308339757531893
BTTN,5.0,5.0,9,0.03689397283681083
BTTN,5.0,5.0,12,0.023004423870860997
BTTN,5.0,5.0,15,0.015590248880782238
BTTN,5.0,5.0,18,0.008038871995976471
