gf_name,topology,T,eta,maxbond,error_l1,mem_bytes
gk,CTTN,50.0,0.0,20,0.5640707421830687,901032
gk,QTT,50.0,0.0,40,0.9155354414600069,1195480
gk,ITTN,50.0,0.0,40,1.3372329522639304,2478776
gk,CTTN,50.0,0.0,40,0.19257792140474855,1009416
gk,QTT,50.0,0.0,60,0.3806402818686459,1351608
gk,ITTN,50.0,0.0,60,0.5408415284381689,2916984
gk,CTTN,50.0,0.0,60,0.00018024690662615084,1093384
gk,QTT,50.0,0.0,80,0.5529811768887926,1488056
gk,ITTN,50.0,0.0,80,0.1923769795043322,3096728
gk,CTTN,50.0,0.0,80,3.6413541490601526e-9,1124872
gk,QTT,50.0,0.0,100,0.3728762170143068,1589080
gk,ITTN,50.0,0.0,100,0.046154073718483846,3238424
gk,CTTN,50.0,0.0,100,2.766485499415318e-9,1134056
gk,QTT,50.0,0.0,120,0.060860735288341156,1646808
gk,ITTN,50.0,0.0,120,0.0009409473981938878,3496888
gk,CTTN,50.0,0.0,120,2.7499559739711935e-9,1132744
gk,QTT,50.0,0.0,140,0.0017287306746932318,1697240
gk,ITTN,50.0,0.0,140,6.380796798378816e-6,3624728
gk,CTTN,50.0,0.0,140,2.6668844286616882e-9,1135368
gk,QTT,50.0,0.0,160,6.072342999611233e-6,1726104
gk,ITTN,50.0,0.0,160,1.626726283796303e-5,3759864
gk,CTTN,50.0,0.0,160,3.08475037603488e-9,1132744
gk,QTT,50.0,0.0,180,3.99752868160221e-8,1752344
gk,ITTN,50.0,0.0,180,1.1152477122950472e-6,3826776
gk,CTTN,50.0,0.0,180,2.9277110358860454e-9,1136680
gk,QTT,50.0,0.0,200,2.74015452057183e-9,1782520
gk,ITTN,50.0,0.0,200,3.987186221878068e-5,3801848
gk,CTTN,50.0,0.0,200,2.0338823260034982e-9,1134056
gk,QTT,50.0,1.0,20,0.1038721058433452,1222232
gk,ITTN,50.0,1.0,20,0.11508969360686852,1739320
gk,CTTN,50.0,1.0,20,0.006830166561636664,1206728
gk,QTT,50.0,1.0,40,0.04952370546101973,1686168
gk,ITTN,50.0,1.0,40,0.06726362778347655,3059992
gk,CTTN,50.0,1.0,40,0.0001020943114779156,1500104
gk,QTT,50.0,1.0,60,0.005304254195629788,1952504
gk,ITTN,50.0,1.0,60,0.059642250127193486,4324760
gk,CTTN,50.0,1.0,60,5.230974138182857e-7,1674600
