gf_name,topology,T,eta,maxbond,error_l1,mem_bytes
dcgf,QTT_Seq,100.0,2.0,35,0.002050998439669449,1025272
dcgf,BTTN,100.0,2.0,35,0.00048038259931526236,445576
dcgf,CTTN,100.0,2.0,35,0.0005791562691669952,1033592
dcgf,QTT_Int,100.0,2.0,35,0.09054965245348968,987832
dcgf,ITTN,100.0,2.0,35,0.056210329685765975,601336
dcgf,QTT_Seq,100.0,2.0,40,0.002246608836546077,1130936
dcgf,BTTN,100.0,2.0,40,0.0002335648195817744,471368
dcgf,CTTN,100.0,2.0,40,0.0005431633229356001,1166712
dcgf,QTT_Int,100.0,2.0,40,0.05341594396770547,1115960
dcgf,ITTN,100.0,2.0,40,0.03923989185675318,655416
dcgf,QTT_Seq,100.0,2.0,45,0.0013421052751405925,1268216
dcgf,BTTN,100.0,2.0,45,0.00022560190929343997,502984
dcgf,CTTN,100.0,2.0,45,0.0005753846696927307,1264056
dcgf,QTT_Int,100.0,2.0,45,0.0364352735619491,1203320
dcgf,ITTN,100.0,2.0,45,0.01796892257439764,711160
dcgf,QTT_Seq,100.0,2.0,50,0.0013328000446898296,1385528
dcgf,BTTN,100.0,2.0,50,0.00015014261169292824,527112
dcgf,CTTN,100.0,2.0,50,0.00043555038453428385,1397176
dcgf,QTT_Int,100.0,2.0,50,0.019354977994655187,1336440
dcgf,ITTN,100.0,2.0,50,0.011368294235790766,766904
dcgf,QTT_Seq,100.0,2.0,55,0.000871310181846459,1468728
dcgf,BTTN,100.0,2.0,55,0.00019860050032323128,532936
dcgf,CTTN,100.0,2.0,55,0.0003038047499088243,1498680
dcgf,QTT_Int,100.0,2.0,55,0.006825349286128595,1380536
dcgf,ITTN,100.0,2.0,55,0.0032193787467432876,821816
dcgf,QTT_Seq,100.0,2.0,60,0.0010077871311708392,1594360
dcgf,BTTN,100.0,2.0,60,7.313766128718192e-5,565384
dcgf,CTTN,100.0,2.0,60,0.0002263105720949832,1634296
dcgf,QTT_Int,100.0,2.0,60,0.0035165459350560953,1530296
dcgf,ITTN,100.0,2.0,60,0.0007206850808898182,875896
dcgf,QTT_Seq,100.0,5.0,5,0.2508484438068676,268816
dcgf,BTTN,100.0,5.0,5,0.2595115617102323,231584
dcgf,CTTN,100.0,5.0,5,0.19659797965267317,268816
dcgf,QTT_Int,100.0,5.0,5,0.3660438307243813,268816
dcgf,ITTN,100.0,5.0,5,0.3715415251425581,227600
dcgf,QTT_Seq,100.0,5.0,10,0.13247703952511697,410456
dcgf,BTTN,100.0,5.0,10,0.051257191705443184,289192
dcgf,CTTN,100.0,5.0,10,0.03628542854471015,410456
dcgf,QTT_Int,100.0,5.0,10,0.3998816203591295,411288
dcgf,ITTN,100.0,5.0,10,0.3290317255191937,298520
dcgf,QTT_Seq,100.0,5.0,15,0.02774537324017839,538584
dcgf,BTTN,100.0,5.0,15,0.008692578258907069,326632
dcgf,CTTN,100.0,5.0,15,0.016331471789478778,545240
dcgf,QTT_Int,100.0,5.0,15,0.34872359640963174,544408
dcgf,ITTN,100.0,5.0,15,0.2638982871096025,368408
dcgf,QTT_Seq,100.0,5.0,20,0.013520953510349067,662552
dcgf,BTTN,100.0,5.0,20,0.0029018385116315656,357416
dcgf,CTTN,100.0,5.0,20,0.007567259929108251,675032
dcgf,QTT_Int,100.0,5.0,20,0.218946273761568,669208
dcgf,ITTN,100.0,5.0,20,0.15034251189295247,426648
dcgf,QTT_Seq,100.0,5.0,25,0.00868756215950801,779032
dcgf,BTTN,100.0,5.0,25,0.0018237452704648609,386536
dcgf,CTTN,100.0,5.0,25,0.003456380210319578,808152
dcgf,QTT_Int,100.0,5.0,25,0.11814041005033517,789848
dcgf,ITTN,100.0,5.0,25,0.0732930014403441,488216
dcgf,QTT_Seq,100.0,5.0,30,0.005431479770143511,902168
dcgf,BTTN,100.0,5.0,30,0.0014284636924230668,415656
dcgf,CTTN,100.0,5.0,30,0.00285541710388856,928792
dcgf,QTT_Int,100.0,5.0,30,0.08470485372714172,901336
dcgf,ITTN,100.0,5.0,30,0.0571261500312141,547288
dcgf,QTT_Seq,100.0,5.0,35,0.004336500773412648,1029432
dcgf,BTTN,100.0,5.0,35,0.0009018955855835609,445576
dcgf,CTTN,100.0,5.0,35,0.0014674914786397045,1043576
dcgf,QTT_Int,100.0,5.0,35,0.052594953898201985,1016952
dcgf,ITTN,100.0,5.0,35,0.029802555817711088,603832
dcgf,QTT_Seq,100.0,5.0,40,0.0069060619790776425,1157560
dcgf,BTTN,100.0,5.0,40,0.0005176569082828854,474696
dcgf,CTTN,100.0,5.0,40,0.0012610202980569332,1175032
dcgf,QTT_Int,100.0,5.0,40,0.03305267987785429,1091832
dcgf,ITTN,100.0,5.0,40,0.01947280971018253,656248
dcgf,QTT_Seq,100.0,5.0,45,0.003672294858991097,1271544
dcgf,BTTN,100.0,5.0,45,0.0005739945411247664,502152
dcgf,CTTN,100.0,5.0,45,0.0011727984606094619,1238264
dcgf,QTT_Int,100.0,5.0,45,0.01698818355340543,1218296
dcgf,ITTN,100.0,5.0,45,0.008954414250507933,713656
dcgf,QTT_Seq,100.0,5.0,50,0.0025941637450559818,1376376
dcgf,BTTN,100.0,5.0,50,0.0004855601490862991,518792
dcgf,CTTN,100.0,5.0,50,0.0010714976261530413,1411320
dcgf,QTT_Int,100.0,5.0,50,0.00873440557259733,1295672
dcgf,ITTN,100.0,5.0,50,0.004570289322948474,767736
dcgf,QTT_Seq,100.0,5.0,55,0.002098767871425484,1462904
dcgf,BTTN,100.0,5.0,55,0.00037963145775851605,537096
dcgf,CTTN,100.0,5.0,55,0.0006687844100252938,1507832
dcgf,QTT_Int,100.0,5.0,55,0.003748098048672639,1428792
dcgf,ITTN,100.0,5.0,55,0.0012934675369059214,819320
dcgf,QTT_Seq,100.0,5.0,60,0.0013794089564293315,1601016
dcgf,BTTN,100.0,5.0,60,0.00026426324355829174,557064
dcgf,CTTN,100.0,5.0,60,0.0005176864509445936,1633464
dcgf,QTT_Int,100.0,5.0,60,0.0021433436231785654,1480376
dcgf,ITTN,100.0,5.0,60,0.0003382550701504879,876728
dcgf,QTT_Seq,100.0,10.0,5,0.17371332974166684,268816
dcgf,BTTN,100.0,10.0,5,0.14329271233476026,231584
dcgf,CTTN,100.0,10.0,5,0.14411891634426258,268816
dcgf,QTT_Int,100.0,10.0,5,0.18467529131119118,268816
dcgf,ITTN,100.0,10.0,5,0.15508747502700965,227600
dcgf,QTT_Seq,100.0,10.0,10,0.09199371591529062,409624
dcgf,BTTN,100.0,10.0,10,0.04136315121522897,289192
dcgf,CTTN,100.0,10.0,10,0.05316573990365472,411288
dcgf,QTT_Int,100.0,10.0,10,0.1789987321103538,411288
dcgf,ITTN,100.0,10.0,10,0.13655418903779068,298520
dcgf,QTT_Seq,100.0,10.0,15,0.03543640723474229,541912
dcgf,BTTN,100.0,10.0,15,0.014908889780865056,326632
dcgf,CTTN,100.0,10.0,15,0.019797010058406193,546904
dcgf,QTT_Int,100.0,10.0,15,0.14427181454829874,546904
dcgf,ITTN,100.0,10.0,15,0.10273433542470878,367576
dcgf,QTT_Seq,100.0,10.0,20,0.030011925183840875,671704
dcgf,BTTN,100.0,10.0,20,0.006579290634014397,357416
dcgf,CTTN,100.0,10.0,20,0.015160408171811352,677528
