topo,eta,time,maxbond,bytes
CTTN_Alt2,0.01,100.0,20,1.403528e6
CTTN_Alt2,0.01,100.0,50,2.259752e6
CTTN_Alt2,0.01,100.0,100,3.305416e6
CTTN_Alt2,0.01,100.0,150,4.2034e6
CTTN_Alt2,0.01,100.0,200,5.0562e6
CTTN_Alt2,0.01,100.0,250,5.822408e6
CTTN_Alt2,0.01,100.0,300,6.559752e6
CTTN_Alt2,0.01,200.0,20,1.458632e6
CTTN_Alt2,0.01,200.0,50,2.37652e6
CTTN_Alt2,0.01,200.0,100,3.5442e6
CTTN_Alt2,0.01,200.0,150,4.595688e6
CTTN_Alt2,0.01,200.0,200,5.565256e6
CTTN_Alt2,0.01,200.0,250,6.481032e6
CTTN_Alt2,0.01,200.0,300,7.328584e6
CTTN_Alt2,0.1,10.0,20,1.303816e6
CTTN_Alt2,0.1,10.0,50,1.893704e6
CTTN_Alt2,0.1,10.0,100,2.532648e6
CTTN_Alt2,0.1,10.0,150,3.014728e6
CTTN_Alt2,0.1,10.0,200,3.425384e6
CTTN_Alt2,0.1,10.0,250,3.748136e6
CTTN_Alt2,0.1,10.0,300,4.0722e6
CTTN_Alt2,0.1,50.0,20,1.379912e6
CTTN_Alt2,0.1,50.0,50,2.188904e6
CTTN_Alt2,0.1,50.0,100,3.115176e6
CTTN_Alt2,0.1,50.0,150,3.917384e6
CTTN_Alt2,0.1,50.0,200,4.632424e6
CTTN_Alt2,0.1,50.0,250,5.288424e6
CTTN_Alt2,0.1,50.0,300,5.867016e6
CTTN_Alt2,0.1,100.0,20,1.432392e6
CTTN_Alt2,0.1,100.0,50,2.30436e6
CTTN_Alt2,0.1,100.0,100,3.377576e6
CTTN_Alt2,0.1,100.0,150,4.3018e6
CTTN_Alt2,0.1,100.0,200,5.1546e6
CTTN_Alt2,0.1,100.0,250,5.926056e6
CTTN_Alt2,0.1,100.0,300,6.6634e6
CTTN_Alt2,0.1,200.0,20,1.461256e6
CTTN_Alt2,0.1,200.0,50,2.418504e6
CTTN_Alt2,0.1,200.0,100,3.613736e6
CTTN_Alt2,0.1,200.0,150,4.683592e6
CTTN_Alt2,0.1,200.0,200,5.663656e6
CTTN_Alt2,0.1,200.0,250,6.579432e6
CTTN_Alt2,0.1,200.0,300,7.434856e6
CTTN_Alt2,0.0,10.0,20,1.16868e6
CTTN_Alt2,0.0,10.0,50,1.675912e6
CTTN_Alt2,0.0,10.0,100,2.223016e6
CTTN_Alt2,0.0,10.0,150,2.660488e6
CTTN_Alt2,0.0,10.0,200,3.001608e6
CTTN_Alt2,0.0,10.0,250,3.332232e6
CTTN_Alt2,0.0,10.0,300,3.582824e6
CTTN_Alt2,0.0,50.0,20,1.277576e6
CTTN_Alt2,0.0,50.0,50,1.967176e6
CTTN_Alt2,0.0,50.0,100,2.814728e6
CTTN_Alt2,0.0,50.0,150,3.565768e6
CTTN_Alt2,0.0,50.0,200,4.220456e6
CTTN_Alt2,0.0,50.0,250,4.84628e6
CTTN_Alt2,0.0,50.0,300,5.431432e6
CTTN_Alt2,0.0,100.0,20,1.320872e6
CTTN_Alt2,0.0,100.0,50,2.085256e6
CTTN_Alt2,0.0,100.0,100,3.077128e6
CTTN_Alt2,0.0,100.0,150,3.94756e6
CTTN_Alt2,0.0,100.0,200,4.74132e6
CTTN_Alt2,0.0,100.0,250,5.499656e6
CTTN_Alt2,0.0,100.0,300,6.221256e6
CTTN_Alt2,0.0,200.0,20,1.366792e6
CTTN_Alt2,0.0,200.0,50,2.211208e6
CTTN_Alt2,0.0,200.0,100,3.331656e6
CTTN_Alt2,0.0,200.0,150,4.338536e6
CTTN_Alt2,0.0,200.0,200,5.264808e6
CTTN_Alt2,0.0,200.0,250,6.149096e6
CTTN_Alt2,0.0,200.0,300,6.999272e6
CTTN_Alt2,1.0,10.0,20,1.328744e6
CTTN_Alt2,1.0,10.0,50,1.975048e6
CTTN_Alt2,1.0,10.0,100,2.71764e6
CTTN_Alt2,1.0,10.0,150,3.294184e6
CTTN_Alt2,1.0,10.0,200,3.758632e6
CTTN_Alt2,1.0,10.0,250,4.171912e6
CTTN_Alt2,1.0,10.0,300,4.493352e6
CTTN_Alt2,1.0,50.0,20,1.416648e6
CTTN_Alt2,1.0,50.0,50,2.257128e6
CTTN_Alt2,1.0,50.0,100,3.2818e6
CTTN_Alt2,1.0,50.0,150,4.165352e6
CTTN_Alt2,1.0,50.0,200,4.902696e6
CTTN_Alt2,1.0,50.0,250,5.6466e6
CTTN_Alt2,1.0,50.0,300,6.305224e6
CTTN_Alt2,1.0,100.0,20,1.462568e6
CTTN_Alt2,1.0,100.0,50,2.37652e6
CTTN_Alt2,1.0,100.0,100,3.538952e6
CTTN_Alt2,1.0,100.0,150,4.526152e6
CTTN_Alt2,1.0,100.0,200,5.376328e6
CTTN_Alt2,1.0,100.0,250,6.24356e6
CTTN_Alt2,1.0,100.0,300,7.03732e6
CTTN_Alt2,1.0,200.0,20,1.499304e6
CTTN_Alt2,1.0,200.0,50,2.485416e6
CTTN_Alt2,1.0,200.0,100,3.772488e6
CTTN_Alt2,1.0,200.0,150,4.851528e6
