topo,eta,time,maxbond,value
QTT_Alt,1.0,200.0,20,0.15246291104396795
QTT_Alt,1.0,200.0,50,0.24484394162332024
QTT_Alt,1.0,200.0,100,0.1516143235454178
QTT_Alt,1.0,200.0,150,0.09553070620542836
QTT_Alt,1.0,200.0,200,0.05878361746496167
QTT_Alt,1.0,200.0,250,0.039469921036295395
QTT_Alt,1.0,200.0,300,0.020438146527400666
CTTN_Alt2,0.001,10.0,20,1.0114585824241946
CTTN_Alt2,0.001,10.0,50,0.3684596991230882
CTTN_Alt2,0.001,10.0,100,0.013860179227256915
CTTN_Alt2,0.001,10.0,150,0.0009621729467083163
CTTN_Alt2,0.001,10.0,200,7.220854982004759e-5
CTTN_Alt2,0.001,10.0,250,8.626595484556639e-6
CTTN_Alt2,0.001,10.0,300,1.1105393389208129e-6
CTTN_Alt2,0.001,50.0,20,0.6568115048815503
CTTN_Alt2,0.001,50.0,50,0.16958299595243664
CTTN_Alt2,0.001,50.0,100,0.03171450873673212
CTTN_Alt2,0.001,50.0,150,0.009190223412448514
CTTN_Alt2,0.001,50.0,200,0.002665788359075219
CTTN_Alt2,0.001,50.0,250,0.000745453211370065
CTTN_Alt2,0.001,50.0,300,0.00024849956417423446
CTTN_Alt2,0.001,100.0,20,0.9216061634744793
CTTN_Alt2,0.001,100.0,50,0.444403626199097
CTTN_Alt2,0.001,100.0,100,0.1052064243336932
CTTN_Alt2,0.001,100.0,150,0.03455612664564718
CTTN_Alt2,0.001,100.0,200,0.013450241387843904
CTTN_Alt2,0.001,100.0,250,0.004634735658635617
CTTN_Alt2,0.001,100.0,300,0.0016418720454165173
CTTN_Alt2,0.001,200.0,20,0.9653859132627548
CTTN_Alt2,0.001,200.0,50,1.014058449417803
CTTN_Alt2,0.001,200.0,100,0.38560608037565425
CTTN_Alt2,0.001,200.0,150,0.17803239763335615
CTTN_Alt2,0.001,200.0,200,0.06432623598000152
CTTN_Alt2,0.001,200.0,250,0.03468425723166667
CTTN_Alt2,0.001,200.0,300,0.01728005912002321
CTTN_Alt2,0.01,10.0,20,0.8249691316310359
CTTN_Alt2,0.01,10.0,50,0.23194771144856585
CTTN_Alt2,0.01,10.0,100,0.014933360397005602
CTTN_Alt2,0.01,10.0,150,0.0011964214968288455
CTTN_Alt2,0.01,10.0,200,0.00011506113206847209
CTTN_Alt2,0.01,10.0,250,1.3075767416364323e-5
CTTN_Alt2,0.01,10.0,300,1.5645231405257236e-6
CTTN_Alt2,0.01,50.0,20,0.37657558435073735
CTTN_Alt2,0.01,50.0,50,0.1564536230343295
CTTN_Alt2,0.01,50.0,100,0.047634644268617146
CTTN_Alt2,0.01,50.0,150,0.01393138006947313
CTTN_Alt2,0.01,50.0,200,0.00585753852008087
CTTN_Alt2,0.01,50.0,250,0.002089499004235265
CTTN_Alt2,0.01,50.0,300,0.000842706414819814
CTTN_Alt2,0.01,100.0,20,0.47257978128437667
CTTN_Alt2,0.01,100.0,50,0.27254814288996027
CTTN_Alt2,0.01,100.0,100,0.1256595689324542
CTTN_Alt2,0.01,100.0,150,0.06502204307869866
CTTN_Alt2,0.01,100.0,200,0.020364630500260675
CTTN_Alt2,0.01,100.0,250,0.012209167743892102
CTTN_Alt2,0.01,100.0,300,0.004969647558838398
CTTN_Alt2,0.01,200.0,20,0.6266408662249807
CTTN_Alt2,0.01,200.0,50,0.4853870406384082
CTTN_Alt2,0.01,200.0,100,0.3644397301511413
CTTN_Alt2,0.01,200.0,150,0.18185655464964862
CTTN_Alt2,0.01,200.0,200,0.13503113817147605
CTTN_Alt2,0.01,200.0,250,0.05202086120648284
CTTN_Alt2,0.01,200.0,300,0.03434900305994378
CTTN_Alt2,0.1,10.0,20,0.5576338184923617
CTTN_Alt2,0.1,10.0,50,0.11629326814832976
CTTN_Alt2,0.1,10.0,100,0.009822130078982257
CTTN_Alt2,0.1,10.0,150,0.0008782216452895822
CTTN_Alt2,0.1,10.0,200,9.16768584674334e-5
CTTN_Alt2,0.1,10.0,250,1.0613539285724172e-5
CTTN_Alt2,0.1,10.0,300,1.3526020134293142e-6
CTTN_Alt2,0.1,50.0,20,0.2615558507558776
CTTN_Alt2,0.1,50.0,50,0.1440516475474865
CTTN_Alt2,0.1,50.0,100,0.0476627611735024
CTTN_Alt2,0.1,50.0,150,0.013965326846722683
CTTN_Alt2,0.1,50.0,200,0.007535477645102863
CTTN_Alt2,0.1,50.0,250,0.0024821717747307752
CTTN_Alt2,0.1,50.0,300,0.0010431152802808296
CTTN_Alt2,0.1,100.0,20,0.20891346985997952
CTTN_Alt2,0.1,100.0,50,0.20324391425113528
CTTN_Alt2,0.1,100.0,100,0.09551943431186323
CTTN_Alt2,0.1,100.0,150,0.053802850574712034
CTTN_Alt2,0.1,100.0,200,0.028861357003190452
CTTN_Alt2,0.1,100.0,250,0.0144036678507659
CTTN_Alt2,0.1,100.0,300,0.008257741010957172
CTTN_Alt2,0.1,200.0,20,0.22287024990443433
CTTN_Alt2,0.1,200.0,50,0.31188615962252125
CTTN_Alt2,0.1,200.0,100,0.30638236721821
CTTN_Alt2,0.1,200.0,150,0.2086207809455306
CTTN_Alt2,0.1,200.0,200,0.14220337618117834
CTTN_Alt2,0.1,200.0,250,0.08390477662854626
